REGIÓN,METROPOLITANA,DISTRITO,ESTACIÓN,BARRIO,ZONA,NRO INTEGRANTES,ESTADO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CIUDADELA DEL CAFE,ESTACION DE POLICIA CIUDADELA DEL CAFE,NO REPORTADO,URBANA,18,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA DOSQUEBRADAS,ESTACION DE POLICIA DOSQUEBRADAS,BARRIO MODELO,URBANA,19,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA DOSQUEBRADAS,ESTACION DE POLICIA DOSQUEBRADAS,BARRIO MODELO,URBANA,18,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA LA VIRGINIA,ESTACION DE POLICIA LA VIRGINIA,ALFONSO LOPEZ,URBANA,18,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CIUDADELA DEL CAFE,ESTACION DE POLICIA CIUDADELA DEL CAFE,NO REPORTADO,URBANA,18,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA LA VIRGINIA,ESTACION DE POLICIA LA VIRGINIA,LOS LIBERTADORES,URBANA,19,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA PEREIRA,HAMBURGO,URBANA,19,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA LA VIRGINIA,ESTACION DE POLICIA LA VIRGINIA,ALMENDROS,URBANA,16,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA EL REMANSO,KENNEDY,URBANA,19,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA LA VIRGINIA,ESTACION DE POLICIA LA VIRGINIA,NO REPORTADO,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CIUDADELA DEL CAFE,ESTACION DE POLICIA CIUDADELA DEL CAFE,NO REPORTADO,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CUBA,ESTACION DE POLICIA CUBA,VILLA CECILIA,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CIUDADELA DEL CAFE,ESTACION DE POLICIA CIUDADELA DEL CAFE,GUADUALITO,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA EL REMANSO,NO REPORTADO,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA DOSQUEBRADAS,ESTACION DE POLICIA DOSQUEBRADAS,SANTA TERESITA,URBANA,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA EL REMANSO,VILLA SANTANA,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CUBA,ESTACION DE POLICIA CUBA,VILLA CECILIA,URBANA,13,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CIUDADELA DEL CAFE,ESTACION DE POLICIA CIUDADELA DEL CAFE,ALTO DE LOS ANGELES,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA PEREIRA,AVENIDA GALAN,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA EL REMANSO,INTERMEDIO,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA DOSQUEBRADAS,ESTACION DE POLICIA DOSQUEBRADAS,LOS NARANJOS,URBANA,13,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA LA VIRGINIA,ESTACION DE POLICIA LA VIRGINIA,PEDRO PABLO BELLO,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA DOSQUEBRADAS,ESTACION DE POLICIA DOSQUEBRADAS,NO REPORTADO,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CIUDADELA DEL CAFE,ESTACION DE POLICIA CIUDADELA DEL CAFE,NO REPORTADO,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA PEREIRA,NO REPORTADO,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA LA VIRGINIA,ESTACION DE POLICIA LA VIRGINIA,NO REPORTADO,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CUBA,ESTACION DE POLICIA CUBA,NO REPORTADO,RURAL,7,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CIUDADELA DEL CAFE,ESTACION DE POLICIA CIUDADELA DEL CAFE,NO REPORTADO,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA PEREIRA,BERLIN,URBANA,19,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA DOSQUEBRADAS,ESTACION DE POLICIA DOSQUEBRADAS,NO REPORTADO,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA DOSQUEBRADAS,ESTACION DE POLICIA DOSQUEBRADAS,NO REPORTADO,RURAL,13,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA EL REMANSO,VDA.  EL CHOCHO,RURAL,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CUBA,ESTACION DE POLICIA CUBA,MIRAFLORES,URBANA,12,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA PEREIRA,BARRIO CENTRO,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CUBA,ESTACION DE POLICIA CUBA,NO REPORTADO,RURAL,12,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA EL REMANSO,NO REPORTADO,RURAL,9,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA DOSQUEBRADAS,ESTACION DE POLICIA DOSQUEBRADAS,BARRIO LA PRADERA,URBANA,12,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA PEREIRA,OLAYA HERRERA,URBANA,16,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CUBA,ESTACION DE POLICIA CUBA,BARRIO SANTA CLARA,URBANA,21,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CUBA,ESTACION DE POLICIA CUBA,BARRIO EL PROGRESO,RURAL,12,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA LA VIRGINIA,ESTACION DE POLICIA LA VIRGINIA,BARRIO LA PLAYA,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CUBA,ESTACION DE POLICIA CUBA,NO REPORTADO,RURAL,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CIUDADELA DEL CAFE,ESTACION DE POLICIA CIUDADELA DEL CAFE,NO REPORTADO,RURAL,12,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CIUDADELA DEL CAFE,ESTACION DE POLICIA CIUDADELA DEL CAFE,NO REPORTADO,RURAL,12,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA DOSQUEBRADAS,ESTACION DE POLICIA DOSQUEBRADAS,SAN NICOLAS,URBANA,13,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA PEREIRA,SAN ANTONIO,URBANA,13,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CUBA,ESTACION DE POLICIA CUBA,NO REPORTADO,URBANA,21,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA PEREIRA,SAMARIA II,URBANA,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CIUDADELA DEL CAFE,ESTACION DE POLICIA CIUDADELA DEL CAFE,NO REPORTADO,URBANA,14,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA LA VIRGINIA,ESTACION DE POLICIA LA VIRGINIA,EL PRADO,URBANA,12,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CUBA,ESTACION DE POLICIA CUBA,SAN JOAQUIN,URBANA,13,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CIUDADELA DEL CAFE,ESTACION DE POLICIA CIUDADELA DEL CAFE,NO REPORTADO,URBANA,11,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA EL REMANSO,LAS BRISAS,URBANA,13,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA PEREIRA,LAGUNETA,RURAL,12,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CIUDADELA DEL CAFE,ESTACION DE POLICIA CIUDADELA DEL CAFE,NO REPORTADO,URBANA,12,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CUBA,ESTACION DE POLICIA CUBA,VDA.  LA CRISTALINA,RURAL,8,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA PEREIRA,BAVARIA,URBANA,12,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA PEREIRA,BARRIO CENTRO,URBANA,11,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CIUDADELA DEL CAFE,ESTACION DE POLICIA CIUDADELA DEL CAFE,NO REPORTADO,RURAL,11,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CUBA,ESTACION DE POLICIA CUBA,BARRIO SANTA CLARA,URBANA,13,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA LA VIRGINIA,ESTACION DE POLICIA LA VIRGINIA,PIO XII,URBANA,19,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA DOSQUEBRADAS,ESTACION DE POLICIA DOSQUEBRADAS,CAMPESTRE B,URBANA,8,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA PEREIRA,CIRCUNVALAR,URBANA,11,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CUBA,ESTACION DE POLICIA CUBA,DORADO I,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA LA VIRGINIA,ESTACION DE POLICIA LA VIRGINIA,SAN ANTONIO,URBANA,11,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA PEREIRA,ALAMOS,URBANA,11,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA PEREIRA,NO REPORTADO,URBANA,5,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CUBA,ESTACION DE POLICIA CUBA,NO REPORTADO,URBANA,5,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA PEREIRA,BARRIO CENTRO,URBANA,5,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA CUBA,ESTACION DE POLICIA CUBA,BELMONTE,URBANA,5,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,ESTACION DE POLICIA PEREIRA,ESTACION DE POLICIA PEREIRA,SAN NICOLAS,URBANA,11,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,VILLA CECILIA,URBANA,9,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA DOSQUEBRADAS,LA BADEA,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA PEREIRA,BARRIO EL JARDIN,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CIUDADELA DEL CAFE,LLANO GRANDE,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA LA VIRGINIA,CAIMALITO,RURAL,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA DOSQUEBRADAS,LA PRADERA,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA EL REMANSO,BARRIO KENNEDY,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,ALTAVISTA,URBANA,20,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,LOS CRISTALES,URBANA,20,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA EL REMANSO,DANUBIO,URBANA,5,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA PEREIRA,AMERICAS,URBANA,5,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,DORADO,URBANA,5,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA DOSQUEBRADAS,BARRIO LA PRADERA,URBANA,5,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,BELMONTE,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CIUDADELA DEL CAFE,CIUDADELA DEL CAFE,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA DOSQUEBRADAS,LA CAPILLA,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA DOSQUEBRADAS,CAMPESTRE D,URBANA,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,ORMAZA,URBANA,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA LA VIRGINIA,CENTRO,URBANA,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,CORALES,URBANA,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA DOSQUEBRADAS,LOS LAGOS,RURAL,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,NO REPORTADO,URBANA,30,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA PEREIRA,LA VICTORIA,URBANA,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA PEREIRA,PINARES,URBANA,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA DOSQUEBRADAS,CAMPESTRE D,URBANA,25,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA LA VIRGINIA,NO REPORTADO,RURAL,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,VEREDA CALLE LARGA,RURAL,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA PEREIRA,OLAYA HERRERA,URBANA,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA LA VIRGINIA,LA MAGDALENA,URBANA,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA PEREIRA,EL POBLADO 1,URBANA,30,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,SALAMANCA,RURAL,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA EL REMANSO,GUAYABAL,URBANA,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA DOSQUEBRADAS,NO REPORTADO,URBANA,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA PEREIRA,CENTRO,URBANA,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,NO REPORTADO,URBANA,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,CORALES,URBANA,9,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,CUBA,URBANA,11,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,EL NARANJITO,URBANA,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,CAÑAVERAL,URBANA,13,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA PEREIRA,BELALCAZAR,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA PEREIRA,NO REPORTADO,URBANA,11,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA PEREIRA,MARAYA,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA PEREIRA,SAN JORGE,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA LA VIRGINIA,CENTRO,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA LA VIRGINIA,NO REPORTADO,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA DOSQUEBRADAS,SAN FERNANDO,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA DOSQUEBRADAS,PLAYA RICA,URBANA,16,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA EL REMANSO,SAN VICENTE,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA EL REMANSO,BELLA VISTA,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CIUDADELA DEL CAFE,NO REPORTADO,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CIUDADELA DEL CAFE,PARQUE INDUSTRIAL,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA LA VIRGINIA,BARRIO LA MAGDALENA,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,CUBA,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA TERMINAL DE TRANSPORTES MEPER,ALAMOS,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA DOSQUEBRADAS,LA PRADERA,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA AEROPUERTO INTERNACIONAL MATECAÑA MEPER,NO REPORTADO,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA EL REMANSO,VEREDA CANCELES,RURAL,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA PEREIRA,LA PROVIDENCIA,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CIUDADELA DEL CAFE,CRUCERO DE COMBIA,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CIUDADELA DEL CAFE,PARQUE INDUSTRIAL,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA PEREIRA,SAMARIA,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,NO REPORTADO,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA CUBA,EL  PORVENIR,RURAL,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA LA VIRGINIA,VEREDA LA PALMA,RURAL,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA DOSQUEBRADAS,SANTA ISABEL,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA PEREIRA,ANTONIO VILLAVICENCIO,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA EL REMANSO,NO REPORTADO,URBANA,10,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA DOSQUEBRADAS,VEREDA ALTO DEL TORO,RURAL,15,ACTIVO
REGION DE POLICIA No. TRES,METROPOLITANA DE PEREIRA,,ESTACION DE POLICIA PEREIRA,HUERTAS,RURAL,22,ACTIVO
REGION DE POLICIA No. CUATRO,DEPARTAMENTO DE POLICIA CALDAS,DISTRITO TRES DE POLICIA RIOSUCIO,ESTACION DE POLICIA LA MERCED,OTRO,URBANA,12,ACTIVO
REGION DE POLICIA No. CUATRO,DEPARTAMENTO DE POLICIA CAUCA,DISTRITO CINCO DE POLICIA BOLIVAR,ESTACION DE POLICIA ALMAGUER,CENTRO,URBANA,22,ACTIVO
REGION DE POLICIA No. CUATRO,DEPARTAMENTO DE POLICIA CAUCA,DISTRITO TRES DE POLICIA EL BORDO,ESTACION DE POLICIA EL BORDO,BARRIO EL JARDIN,URBANA,11,ACTIVO
REGION DE POLICIA No. CUATRO,DEPARTAMENTO DE POLICIA CAUCA,DISTRITO TRES DE POLICIA EL BORDO,ESTACION DE POLICIA EL BORDO,VERSALLES,URBANA,21,ACTIVO
REGION DE POLICIA No. CUATRO,DEPARTAMENTO DE POLICIA CAUCA,DISTRITO DOS DE POLICIA SANTANDER DE QUILICHAO,ESTACION DE POLICIA SANTANDER DE QUILICHAO,MORALES DUQUE,URBANA,22,ACTIVO
REGION DE POLICIA No. CUATRO,DEPARTAMENTO DE POLICIA CAUCA,DISTRITO SIETE DE POLICIA PUERTO TEJADA,ESTACION DE POLICIA CORINTO,CENTRO,URBANA,15,ACTIVO
REGION DE POLICIA No. CUATRO,DEPARTAMENTO DE POLICIA CAUCA,DISTRITO DOS DE POLICIA SANTANDER DE QUILICHAO,ESTACION DE POLICIA CALDONO,DIVINO NIÑO,URBANA,10,ACTIVO
REGION DE POLICIA No. CUATRO,DEPARTAMENTO DE POLICIA CAUCA,DISTRITO SIETE DE POLICIA PUERTO TEJADA,ESTACION DE POLICIA PUERTO TEJADA,SAUCES,URBANA,20,ACTIVO
REGION DE POLICIA No. CUATRO,DEPARTAMENTO DE POLICIA CAUCA,DISTRITO SIETE DE POLICIA PUERTO TEJADA,ESTACION DE POLICIA PUERTO TEJADA,LA ESPERANZA,URBANA,28,ACTIVO
REGION DE POLICIA No. CUATRO,DEPARTAMENTO DE POLICIA CAUCA,DISTRITO SIETE DE POLICIA PUERTO TEJADA,ESTACION DE POLICIA PUERTO TEJADA,HIPODROMO,URBANA,23,ACTIVO
REGION DE POLICIA No. CUATRO,DEPARTAMENTO DE POLICIA CAUCA,DISTRITO SIETE DE POLICIA PUERTO TEJADA,ESTACION DE POLICIA GUACHENE,JORGE ELIECER GAITAN,URBANA,12,ACTIVO
REGION DE POLICIA No. CUATRO,DEPARTAMENTO DE POLICIA CAUCA,DISTRITO SIETE DE POLICIA PUERTO TEJADA,ESTACION DE POLICIA PUERTO TEJADA,BULEVAR,URBANA,21,ACTIVO
REGION DE POLICIA No. CUATRO,DEPARTAMENTO DE POLICIA CAUCA,DISTRITO CUATRO DE POLICIA PIENDAMO,ESTACION DE POLICIA PIENDAMO,TEJARES,URBANA,18,ACTIVO
